original_text,hindi,kannada,tamil,telugu,malayalam
Hi! We're sorry about your experience. Let us know the issue so we can help.,नमस्ते! आपके अनुभव के लिए हमें खेद है। हमें समस्या बताएं ताकि हम मदद कर सकें।,ನಮಸ್ಕಾರ!ನಿಮ್ಮ ಅನುಭವಕ್ಕಾಗಿ ನಾವು ಕ್ಷಮೆ ಕೇಳುತ್ತೇವೆ.. ಸಮಸ್ಯೆಯನ್ನು ನಮಗೆ ತಿಳಿಸಿ ಇದರಿಂದ ನಾವು ಸಹಾಯ ಮಾಡಬಹುದು.,"வணக்கம்! உங்கள் அனுபவத்திற்கு நாங்கள் 
வருந்துகிறோம் பிரச்சினையை எங்களுக்குத் 
தெரியப்படுத்துங்கள், அப்பொழுது தான் நாங்கள் உதவ 
முடியும்.",హలో! మీ అనుభవానికి మేము చింతిస్తున్నాము. మేము సహాయం చేయగలిగేలా సమస్యను మాకు తెలియజేయండి.,"ഹായ്! നിങ്ങളുടെ അനുഭവം മോശമായതിൽ ഞങ്ങൾ ഖേദിക്കുന്നു. താങ്കളെ സഹായിക്കുന്നതിനായി, താങ്കൾക്കുണ്ടായ പ്രശ്നം വിവരിക്കുക "
Report an Issue with a Trip,यात्रा से संबंधित समस्या की रिपोर्ट करें,ಪ್ರಯಾಣದಲ್ಲಿನ ಸಮಸ್ಯೆಯನ್ನು ವರದಿ ಮಾಡಿ,பயணம் தொடர்பான பிரச்சனைகளுக்கு புகாரளிக்கவும்,ప్రయాణంలో సమస్యను నివేదించండి,ഒരു യാത്രയുമായി ബന്ധപ്പെട്ട പ്രശ്നം റിപ്പോർട്ട് ചെയ്യുക
Fare and Payment,किराया और भुगतान,ದರ ಮತ್ತು ಪಾವತಿ,கட்டணம் மற்றும் பணம் செலுத்துதல்,ఛార్జీలు మరియు చెల్లింపు,യാത്രക്കൂലിയും പേയ്മെന്റും
Driver demanded more,ड्राइवर ने अधिक मांगा,"ಚಾಲಕ ಹೆಚ್ಚು ಬೇಡಿಕೆ ಮಾಡಿದರು
",ஓட்டுநர் அதிகம் கேட்டார்,డ్రైవర్ ఎక్కువ డిమాండ్ చేశాడు,ഡ്രൈവർ കൂടുതൽ ആവശ്യപ്പെട്ടു
Fare discrepancy,किराए में अंतर,ದರದಲ್ಲಿ ವ್ಯತ್ಯಾಸ,கட்டணத்தில் முரண்பாடு,ఛార్జీలలో వ్యత్యాసం,യാത്രക്കൂലിയിലെ വ്യത്യാസം
Paid Twice / Double Debit,दो बार भुगतान किया / दोहरा डेबिट,ಎರಡು ಬಾರಿ ಪಾವತಿಸಿದೆ / ಡಬಲ್ ಡೆಬಿಟ್,"இருமுறை பணம் செலுத்தப்பட்டது / இரட்டை 
கட்டணம்",రెండుసార్లు చెల్లించాను / డబుల్ డెబిట్,രണ്ടുതവണ പണമടച്ചു / ഇരട്ട ഡെബിറ്റ്
Incorrect Toll added,गलत टोल जोड़ा गया,ತಪ್ಪಾದ ಟೋಲ್ ಸೇರಿಸಲಾಗಿದೆ,தவறான சுங்கச்சாவடி கட்டணம் சேர்க்கப்பட்டது,తప్పుడు టోల్ చేర్చబడింది,തെറ്റായ ടോൾ ചേർത്തു
Incorrect Parking / Entry Fees,गलत पार्किंग / प्रवेश शुल्क,ತಪ್ಪಾದ ಪಾರ್ಕಿಂಗ್ / ಪ್ರವೇಶ ಶುಲ್ಕ,தவறான நிறுத்துமிட / நுழைவுக் கட்டணங்கள்,తప్పుడు పార్కింగ్ / ప్రవేశ రుసుము,തെറ്റായ പാർക്കിംഗ് / പ്രവേശന ഫീസ്
Driver Feedback,ड्राइवर प्रतिक्रिया,ಚಾಲಕನ ಪ್ರತಿಕ್ರಿಯೆ,ஓட்டுநர் கருத்து,డ్రైవర్ అభిప్రాయం,ഡ്രൈവർ ഫീഡ്ബാക്ക്
Driver was rude or misbehaved,ड्राइवर अभद्र था या दुर्व्यवहार किया,ಚಾಲಕ ಅಸಭ್ಯವಾಗಿ ವರ್ತಿಸಿದ ಅಥವಾ ದುರ್ನಡತೆ ತೋರಿದ,ஓட்டுநர் முரட்டுத்தனமாக நடந்துகொண்டார் அல்லது தவறாக நடந்துகொண்டார்,డ్రైవర్ మర్యాద లేకుండా ప్రవర్తించాడు లేదా దుర్వ్యవహారం చేశాడు,ഡ്രൈവർ പരുഷമായി പെരുമാറി അല്ലെങ്കിൽ മോശമായി പെരുമാറി
